,title,year,doi
1582,visual pattern analysis in histopathology images using bag of features,2009,10.1007/978-3-642-10268-4_61
1583,segmentation and registration based analysis of microscopy images,2009,
1584,object segmentation by traversing a pose-shape manifold,2009,
1585,automatic screening of bladder cells for cancer diagnosis,2009,
1586,blog cascade affinity: analysis and prediction,2009,10.1145/1645953.1646095
1587,automatic segmentation of drosophila neurons for content based retrieval using a minimum spanning tree approach,2009,
1588,pems-based multi-level analysis of fuel consumption and emissions for heavy-duty diesel vehicles,2009,10.1109/ICEET.2009.63
1589,adsorption of nickel(ii) with composite filter material made of coal fly ash,2009,10.1109/ICEET.2009.467
1590,photocatalytic degradation of organic pollutants in purified terephthalic acid wastewater with activated carbon supported titanium dioxide,2009,10.1109/ICEET.2009.397
1591,ceramsite-vermifilter for domestic wastewater treatment and reuse: an option for rural agriculture,2009,10.1109/ICEET.2009.352
1592,characterization of vertically aligned carbon nanofibers grown on ni dots nanoelectrode array using atomic force microscopy,2009,
1593,on-chip fabrication and assembly of rotational microstructures,2009,
1594,accelerating feature based registration using the johnson-lindenstrauss lemma,2009,10.1007/978-3-642-04268-3_78
1595,segmentation and classification of cell cycle phases in fluorescence imaging,2009,10.1007/978-3-642-04271-3_75
1596,sem microscopic image segmentation based on markov field models,2009,10.1109/ICIG.2009.11
1597,artificial intelligence of virtual people in ca ff pedestrian dynamics model,2009,
1598,pixel coverage segmentation for improved feature estimation,2009,10.1007/978-3-642-04146-4_99
1599,an interactive level set approach to semi-automatic detection of features in food micrographs,2009,10.1007/978-3-642-03767-2_111
1600,an optimizing operator of auto-focusing algorithm for splicing graphics with microscope system,2009,
1601,histopathological diagnostic support technology using higher-order local autocorrelation features,2009,10.1109/BLISS.2009.29
1602,study of integrity of nio oxide film by acoustic emission method,2009,10.1109/ICNC.2009.133
1603,characteristics of independence on image gray level in ncco applications,2009,10.1109/ITCS.2009.192
1604,characteristics of insbte phase-change random access memory,2009,
1605,chitosan-hydroxyapatite composite obtained by biomimetic method as new bone substitute,2009,10.1109/AT-EQUAL.2009.19
1606,segmentation of touching cell nuclei using a two-stage graph cut model,2009,10.1007/978-3-642-02230-2_42
1607,histopathology image classification using bag of features and kernel functions,2009,10.1007/978-3-642-02976-9_17
1608,mechanism of pb(ii) biosorption by saccharomyces cerevisiae,2009,10.1109/ESIAT.2009.450
1609,a compressed sensing approach for biological microscopic image processing,2009,
1610,integrating multi-scale blob/curvilinear detector techniques and multilevel sets for automated segmentation of stem cell images,2009,
1611,tissue level segmentation and tracking of biological structures in microscopic images based on density maps,2009,
1612,dermoscopic interest point detector and descriptor,2009,
1613,feature extraction from cancer images using local phase congruency: a reliable source of image descriptors,2009,
1614,quantitative comparison of spot detection methods in live-cell fluorescence microscopy imaging,2009,
1615,a novel multiple particle tracking algorithm for noisy in vivo data by minimal path optimization within the spatio-temporal volume,2009,
1616,energy minimization methods for cell motion correction and intracellular analysis in live-cell fluorescence microscopy,2009,
1617,instance-based generative biological shape modeling,2009,
1618,balls hierarchy: image segmentation by graph spanner,2009,
1619,multi-modal registration of embryonic images for in vitro fertilization,2009,10.1109/BIBE.2009.9
1620,predicting flow state in daily work through continuous sensing of motion rhythm,2009,
1621,studies on the capacity of vehicles at conflict points based on microscopic simulation,2009,
1622,application of digital holography in microscopic object measurement,2009,
1623,vision based injector spray pattern testing system,2009,
1624,an integrated approach of particle swarm optimization and support vector machine for gene signature selection and cancer prediction,2009,
1625,self organizing maps for class discovery in the quantitative colocalization analysis feature space,2009,
1626,classification of dynamic atomic force microscopy control modes based on asymptotic nonlinear mechanics,2009,
1627,high-speed high-precision control of atomic force microscope by surface topography learning observer,2009,
1628,cell division detection on the arabidopsis thaliana root,2009,10.1007/978-3-642-02172-5_23
1629,the science of the web,2009,10.1007/978-3-642-02144-2_1
1630,the design and application of measurement system for lubricant wearproof property,2009,10.1109/GCIS.2009.377
1631,boundary-based feature extraction and recognition of breast tumors using support vector machine,2009,10.1109/IFITA.2009.493
1632,observations and models for needle-tissue interactions,2009,
1633,the hydrological sediment detection system based on image process,2009,10.1109/CSO.2009.344
1634,fractal characteristic and fractal dimension measurement of pore structure of peanut cake,2009,10.1109/CSO.2009.211
1635,three-dimensional multimodality modelling by integration of high-resolution interindividual atlases and functional maldi-ims data,2009,10.1007/978-3-642-00727-9_14
1636,an organization topographic map for visualizing business hierarchical relationships,2009,10.1109/PACIFICVIS.2009.4906834
1637,compressive confocal microscopy,2009,10.1109/ICASSP.2009.4959612
1638,x-tracking the changes of web navigation patterns,2009,10.1007/978-3-642-01307-2_79
1639,bcpp: an intelligent prediction system of breast cancer prognosis using microarray and clinical data,2009,10.1109/CSIE.2009.514
1640,general approach for simulating heterogeneity of car-following behaviors,2009,10.1109/CSIE.2009.359
1641,images: intelligent multi-agent system for freeway traffic flow simulation,2009,
1642,novel optical nanobiosensor assembled with silver nanoparticles on gold surface,2009,10.1109/NEMS.2009.5068739
1643,kinetic and processing studies on a novel technology of producing high purity nano-silicon dioxide from an alumina rich coal fly ash with carbon dioxide,2009,10.1109/NEMS.2009.5068706
1644,effect of nitrogen flow ratios on microstructure and mechanical properties of nanocomposite ti-si-n thin flims,2009,10.1109/NEMS.2009.5068695
1645,characterization of line edge roughness and line width roughness of nano-scale typical structures,2009,10.1109/NEMS.2009.5068582
1646,automatic registration based on improved sift for medical microscopic sequence images,2008,10.1109/IITA.2008.586
1647,automated early cancer screening based on kernel method,2008,10.1109/PACIIA.2008.37
1648,growth inhibition and induction of apoptosis in sarcoma 180 cells by juglone in vivo,2008,10.1109/FBIE.2008.10
1649,segmentation for plate microscopic image,2008,10.1109/CSSE.2008.960
1650,hybrid image processing technique for the robust identification of unstained cells in bright-field microscope images,2008,10.1109/CIMCA.2008.144
1651,identification of cell nucleus using a mumford-shah ellipse detector,2008,10.1007/978-3-540-89639-5_56
1652,"effect of heat treatment on structural, optical and morphology properties of tin-doped zno thin film",2008,
1653,fuzzy classification of animal fibers using neuro-fuzzy classifier,2008,10.1109/ICINIS.2008.72
1654,an emergent system for self-aligning and self-organizing shape primitives,2008,10.1109/SASO.2008.54
1655,awareness-driven phase transitions in very large scale distributed systems,2008,10.1109/SASO.2008.49
1656,glomerulus extraction by optimizing the fitting curve,2008,10.1109/ISCID.2008.223
1657,modeling and optimization of crowd guidance for building emergency evacuation,2008,10.1007/978-3-540-88518-4_1
1658,an exact brownian dynamics method for cell simulation,2008,10.1007/978-3-540-88562-7_3
1660,fluorosim: a visual problem-solving environment for fluorescence microscopy,2008,
1661,machine vision application to the detection of micro-organism in drinking water,2008,10.1007/978-3-540-85567-5_38
1662,object-oriented model of a transportation system,2008,
1663,a new wastewater bacteria classification with microscopic image analysis,2008,
1664,subspace vector quantization and markov modeling for cell phase classification,2008,10.1007/978-3-540-69812-8_84
1665,a hybrid approach for arabidopsis root cell image segmentation,2008,10.1007/978-3-540-69812-8_73
1666,on a synergetic architecture for cognitive adaptive behavior of future communication systems,2008,10.1109/WOWMOM.2008.4594896
1667,weakly supervised cell nuclei detection and segmentation on tissue microarrays of renal clear cell carcinoma,2008,10.1007/978-3-540-69321-5_18
1668,identification of animal fiber based on scale shape,2008,10.1109/CISP.2008.252
1669,classification and uncertainty visualization of dendritic spines from optical microscopy imaging,2008,10.1111/j.1467-8659.2008.01220.x
1670,geometry-driven visualization of microscopic structures in biology,2008,10.1111/j.1467-8659.2008.01219.x
1671,plenary lecture ii: fuzzy models in bioinformatics,2008,
1672,plenary lecture v: real-time in vivo and in situ cellular image processing and characterization: challenges and solutions,2008,
1674,in vivo and in situ cellular image processing and characterization: challenges and solutions,2008,
1677,"speech ""siglet"" detection for business microscope (concise contribution)",2008,10.1109/PERCOM.2008.83
1678,study of morphologic response of chondrocytes to uniaxial compression of articular cartilage,2008,
1679,spatial emergence of genotypical tribes in an animat simulation model,2007,
1680,a quantitative object-level metric for segmentation performance and its application to cell nuclei,2007,
1681,the use of microscopic traffic simulation model for traffic control systems,2007,10.1109/ISITC.2007.89
1682,infected cell identification in thin blood images based on color pixel classification: comparison and analysis,2007,
1683,automatic clump splitting for cell quantification in microscopical images,2007,
1684,high throughput analysis of breast cancer specimens on the grid,2007,
1685,performance vs. accuracy trade-offs for large-scale image analysis applications,2007,10.1109/CLUSTR.2007.4629222
1686,a new color representation for intensity independent pixel classification in confocal microscopy images,2007,
1687,a level set bridging force for the segmentation of dendritic spines,2007,
1688,quantification of bone remodeling in the proximity of implants,2007,
1689,method for automatic image recognition based on algorithm fusion,2007,10.1109/ICNC.2007.469
1690,image analysis of size and shape of mineral particles,2007,10.1109/FSKD.2007.353
1691,multi-scale and first derivative analysis for edge detection in tem images,2007,
1692,decomposing non-rigid cell motion via kinematic skeletonization,2007,10.1145/1280720.1280799
1693,real-time measurement and analysis of translational and rotational speeds of moving objects in microscope fields,2007,
1694,walking between free will and determinism,2007,
1695,towards better than human capability in diagnosing prostate cancer using infrared spectroscopic imaging,2007,10.1145/1276958.1277366
1696,optical devices diagnosis by neural classifier exploiting invariant data representation and dimensionality reduction ability,2007,
1697,towards the integration of a bioprofile in ocular melanoma,2007,
1698,symbol-based machine learning approach for supervised segmentation of follicular lymphoma images,2007,10.1109/CBMS.2007.105
1699,an adaptable multichannel architecture for cortical stimulation,2007,10.1007/978-3-540-73053-8_15
1700,a framework for analyzing confocal images of transversal tubules in cardiomyocytes,2007,
1701,evaluation of dual regime acceleration model applied to left turning vehicles,2007,
1703,hvem control system based on grid: a cornerstone of e-biology,2007,10.1007/978-3-540-72588-6_4
1704,a novel bacteria classification scheme based on microscopic image analysis,2007,
1705,vehicular mobility simulation for vanets,2007,10.1109/ANSS.2007.44
1706,a modular software haptic interface for teleoperated nanomanipulation and afm probe based characterization of carbon nanotubes,2007,10.1109/WHC.2007.8
1707,performance of low-level motion estimation methods for confocal microscopy of plant cells in vivo,2007,10.1109/WMVC.2007.32
1708,thin films of calcium phosphate on titanium dental screws: sol-gel route versus plasma spray,2007,
1709,collagen-blended biodegradable polymer nanofibers: potential substrates for wound healing in skin tissue engineering,2007,
1710,a dynamic state-space model for simulating scanning probe microscopy,2007,
1711,morphometric study of stress-induced changes in aortic wall microstructure,2007,
1712,research based on fuzzy algorithm of cancer cells in pleural fluid microscopic images recognition,2006,
1713,markov modeling of conformational kinetics of cardiac ion channel proteins,2006,10.1007/11946465_11
1714,applying image fusion techniques for detection of hepatic lesions,2006,
1715,combining fuzzy cognitive maps with support vector machines for bladder tumor grading,2006,10.1007/11892960_63
1716,cellular automata and its application to the modeling of vehicular traffic in the city of caracas,2006,10.1007/11861201_58
1717,social distances model of pedestrian dynamics,2006,10.1007/11861201_57
1718,phase-field versus level set method for 2d dendritic growth,2006,
1719,mechanical failure in microstructural heterogeneous materials,2006,
1720,spatial-hmm: a new approach for semantic annotation of histological,2006,10.1109/ICPR.2006.1069
1721,geometrical regularization of displacement fields with application to biological image registration,2006,10.1007/11784012_13
1722,identifying lymphoma in microscopy images with classificational cellular automata,2006,10.1109/CBMS.2006.97
1723,a prototype infrastructure for the secure aggregation of imaging and pathology data for colorectal cancer care,2006,10.1109/CBMS.2006.24
1724,potential usefulness of multiple-mammographic views in computer-aided diagnosis scheme for identifying histological classification of clustered microcalcification,2006,10.1007/11783237_32
1725,feature selection for evaluating fluorescence microscopy images in genome-wide cell screens,2006,10.1109/CVPR.2006.121
1726,sliver removal by lattice refinement,2006,10.1145/1137856.1137907
1727,thermal characteristics and measurement of nanoscale materials,2006,10.1007/11758532_16
1728,automatic reconstruction of dendrite morphology from optical section stacks,2006,10.1007/11889762_17
1729,bio-inspired computing machines with self-repair mechanisms,2006,10.1007/11613022_13
1730,identification of printing process using hsv colour space,2006,10.1007/11612704_69
1731,robust autofocusing for automated microscopy imaging of fluorescently labelled bacteria,2005,10.1109/DICTA.2005.72
1732,stealth breakpoints,2005,10.1109/CSAC.2005.52
1733,efficient learning by combining confidence-rated classifiers to incorporate unlabeled medical data,2005,10.1007/11566465_92
1734,adaptive spatio-temporal restoration for 4d fluorescence microscopic imaging,2005,10.1007/11566465_110
1735,motion tracking and intensity surface recovery in microscopic nuclear images,2005,10.1007/11566465_108
1736,a model-based hematopoietic stem cell tracker,2005,10.1007/11559573_105
1737,grid and high performance computing: opportunities for bioinformatics research,2005,10.1007/11557654_3
1738,adaptive feature selection for classification of microscope images,2005,10.1007/11676935_26
1739,seeded watersheds for combined segmentation and tracking of cells,2005,10.1007/11553595_41
1740,voxel-wise gray scale invariants for simultaneous segmentation and classification,2005,10.1007/11550518_11
1741,white blood cell segmentation and classification in microscopic bone marrow images,2005,10.1007/11540007_98
1742,a novel multispectral imaging analysis method for white blood cell detection,2005,10.1007/11539117_32
1743,"modeling, simulation, and testing of the mechanical dynamics of an rf mems switch",2005,10.1109/ICMENS.2005.77
1744,analysis of tip effects on the dynamic characteristics of v-shaped atomic force microscope probes,2005,10.1109/ICMENS.2005.26
1745,feature extraction of epiluminescence microscopic images by iterative segmentation algorithm,2005,
1746,multilevel full-chip routing for the x-based architecture,2005,10.1145/1065579.1065734
1747,volumetric data analysis using morse-smale complexes,2005,10.1109/SMI.2005.50
1748,microscopic simulation of a group defense strategy,2005,10.1109/PADS.2005.13
1749,soft computing algorithms applied to the segmentation of nerve cell images,2005,10.1109/SNPD-SAWN.2005.73
1750,a computational model of micro-vascular growth,2005,10.1007/11428862_3
1751,mesoscopic simulation for self-organization in surface processes,2005,10.1007/11428831_106
1752,towards a realistic microscopic traffic simulation at an unsignalised intersection,2005,10.1007/11424826_126
1753,automatic in situ identification of plankton,2005,10.1109/ACVMOT.2005.29
1754,to adapt or not to adapt: consequences of adapting driver and traffic light agents,2005,
1755,automatic fourier synthesis based input-shaping for scanning piezo-electric actuators,2017,10.1109/AIM.2017.8014163
1756,highway traffic state estimation with mixed connected and conventional vehicles: microscopic simulation-based testing,2016,10.1109/ITSC.2016.7795796
1757,the evacsim pedestrian evacuation agent model: development and validation,2013,
1758,point-and-shoot security design: can we build better tools for developers?,2012,10.1145/2413296.2413300
1759,"studies of perovskite materials for high-performance storage media, piezoelectric, and solar energy conversion devices",2010,10.1109/HPCMP-UGC.2010.19
1760,few-shot breast cancer metastases classification via unsupervised cell ranking,2019,10.1109/TCBB.2019.2960019
1761,computerized classification of prostate cancer gleason scores from whole slide images,2020,10.1109/TCBB.2019.2941195
1762,fast accurate and automatic brushstroke extraction,2021,10.1145/3429742
1763,bioimage classification with handcrafted and learned features,2019,10.1109/TCBB.2018.2821127
1764,artificial intelligence-driven image analysis of bacterial cells and biofilms,2021,10.1109/TCBB.2021.3138304
1765,region growing for segmenting green microalgae images,2018,10.1109/TCBB.2016.2615606
1766,learning the topological properties of brain tumors,2005,10.1109/TCBB.2005.42
1767,automatic extraction of petrographic features from pottery of archaeological interest,2015,10.1145/2700422
1768,towards material digitization with a dual-scale optical system,2023,10.1145/3592147
1769,triplet-net classification of contiguous stem cell microscopy images,2023,10.1109/TCBB.2023.3247957
1770,scratch iridescence: wave-optical rendering of diffractive surface structure,2017,10.1145/3130800.3130840
1771,"novel methods for microglia segmentation, feature extraction, and classification",2017,10.1109/TCBB.2016.2591520
1773,microcam: leveraging smartphone microscope camera for context-aware contact surface sensing,2023,10.1145/3610921
1774,a survey of quantum-cognitively inspired sentiment analysis models,2023,10.1145/3604550
1775,delay-on-squash: stopping microarchitectural replay attacks in their tracks,2022,10.1145/3563695
1776,an efficient detection and classification of acute leukemia using transfer learning and orthogonal softmax layer-based model,2022,10.1109/TCBB.2022.3218590
1777,modelling group dynamics for crowd simulations,2022,10.1007/s00779-022-01687-9
1778,rendering of subjective speckle formed by rough statistical surfaces,2022,10.1145/3472293
1779,a perceptually-validated metric for crowd trajectory quality evaluation,2021,10.1145/3480136
1780,a multimodality-contribution-aware tripnet for histologic grading of hepatocellular carcinoma,2021,10.1109/TCBB.2021.3079216
1781,a feature weighting-assisted approach for cancer subtypes identification from paired expression profiles,2020,10.1109/TCBB.2020.3041723
1782,cell nuclei classification in histopathological images using hybrid olconvnet,2020,10.1145/3345318
1783,deepseed local graph matching for densely packed cells tracking,2019,10.1109/TCBB.2019.2936851
1784,an active sleep monitoring framework using wearables,2018,10.1145/3185516
1785,an organelle correlation-guided feature selection approach for classifying multi-label subcellular bio-images,2018,10.1109/TCBB.2017.2677907
1786,introduction of car sharing into existing car fleets in microscopic travel demand modelling,2017,10.1007/s00779-017-1031-3
1787,a two-scale microfacet reflectance model combining reflection and diffraction,2017,10.1145/3072959.3073621
1788,a two-phase improved correlation method for automatic particle selection in cryo-em,2017,10.1109/TCBB.2015.2415787
1789,multimodal perception of histological images for persons who are blind or visually impaired,2017,10.1145/3026794
1790,smarts: scalable microscopic adaptive road traffic simulator,2016,10.1145/2898363
1791,simultaneous acquisition of microscale reflectance and normals,2016,10.1145/2980179.2980220
1792,ego-net community mining applied to friend suggestion,2015,10.14778/2856318.2856327
1793,dissecting darknets: measurement and performance analysis,2014,10.1145/2611527
1794,intensity-based skeletonization of cryoem gray-scale images using a true segmentation-free algorithm,2013,10.1109/TCBB.2013.121
1795,on deriving and incorporating multihop path duration estimates in vanet protocols,2011,10.1145/1899396.1899402
1796,automatic detection of large dense-core vesicles in secretory cells and statistical analysis of their intracellular distribution,2010,10.1109/TCBB.2008.30
1797,kssolv—a matlab toolbox for solving the kohn-sham equations,2009,10.1145/1499096.1499099
1798,understanding the biases of generalised recombination: part i,2006,10.1162/evco.2006.14.4.411
1799,research on automatic annotation of pathological image detail information based on machine learning,2020,10.1504/ijict.2020.110790
1800,colorectal cancer diagnostic algorithm based on sub-patch weight color histogram in combination of improved least squares support vector machine for pathological image,2019,10.1007/s10916-019-1429-8
1801,breast cancer classification in pathological images based on hybrid features,2019,10.1007/s11042-019-7468-9
1802,registration with probabilistic correspondences — accurate and robust registration for pathological and inhomogeneous medical data,2020,10.1016/j.cviu.2019.102839
1803,stacked sparse autoencoder and case-based postprocessing method for nucleus detection,2019,10.1016/j.neucom.2019.06.005
1804,automated colon cancer detection using hybrid of novel geometric features and some traditional features,2015,10.1016/j.compbiomed.2015.03.004
1805,automated grading of breast cancer histopathology using cascaded ensemble with combination of multi-level image features,2017,10.1016/j.neucom.2016.05.084
1806,computer aided solution for automatic segmenting and measurements of blood leucocytes using static microscope images,2018,
1807,organic solar cells defects classification by using a new feature extraction algorithm and an ebnn with an innovative pruning algorithm,2021,10.1002/int.22386
1808,cell phenotype classification using multi threshold uniform local ternary patterns in fluorescence microscope images,2021,10.1007/s11042-020-10321-w
1809,biometric authentication system based on texture features of retinal images,2018,10.1504/IJBM.2018.093624
1810,a quantitative image analysis for the cellular cytoskeleton during in vitro tumor growth,2018,10.1016/j.eswa.2017.08.048
1811,ferrography wear particles image recognition based on extreme learning machine,2017,10.1155/2017/3451358
1812,image processing methods for the structural detection and gradation of placental villi,2018,10.1016/j.compbiomed.2017.08.004
1813,moth-flame swarm optimization with neutrosophic sets for automatic mitosis detection in breast cancer histology images,2017,10.1007/s10489-017-0897-0
1814,digital forensics of microscopic images for printed source identification,2018,10.1007/s11042-017-4771-1
1815,acrosome integrity assessment of boar spermatozoa images using an early fusion of texture and contour descriptors,2015,10.1016/j.cmpb.2015.03.005
1816,fabrication and characterization of copper based semiconducting materials for optoelectronic applications,2021,10.1007/s00542-020-05145-5
1817,study on contribution of biological interpretable and computer-aided features towards the classification of childhood medulloblastoma cells,2018,10.1007/s10916-018-1008-4
1818,an automatic intelligent system for diagnosis and confirmation of johne's disease,2015,10.1504/IJISTA.2015.074072
1819,defining cost functions for adaptive jpeg steganography at the microscale,2019,10.1109/TIFS.2018.2869353
1820,automatic classification of thyroid histopathology images using multi-classifier system,2017,10.1007/s11042-017-4363-0
1821,texture analysis and multiple-instance learning for the classification of malignant lymphomas,2020,10.1016/j.cmpb.2019.105153
1822,a vggnet-like approach for classifying and segmenting coal dust particles with overlapping regions,2021,10.1016/j.compind.2021.103506
1823,segmentation of scanning tunneling microscopy images using variational methods and empirical wavelets,2020,10.1007/s10044-019-00824-0
1824,automatic acute lymphoblastic leukemia classification model using social spider optimization algorithm,2019,10.1007/s00500-018-3288-5
1825,colocalizr: an open-source application for cell-based high-throughput colocalization analysis,2019,10.1016/j.compbiomed.2019.02.024
1826,web-enabled distributed health-care framework for automated malaria parasite classification: an e-health approach,2017,10.1007/s10916-017-0834-0
1827,blood smear analyzer for white blood cell counting,2016,10.1016/j.asoc.2015.12.038
1828,strong classification system for wear identification on milling processes using computer vision and ensemble learning,2021,10.1016/j.neucom.2020.07.131
1829,automatic cell nuclei segmentation and classification of breast cancer histopathology images,2016,10.1016/j.sigpro.2015.11.011
1830,effective segmentation and classification of thyroid histopathology images,2016,10.1016/j.asoc.2016.02.030
1831,multi-cell nuclei segmentation in cervical cancer images by integrated feature vectors,2018,10.1007/s11042-017-4864-x
1832,govocitos,2016,10.1016/j.compag.2016.04.014
1833,automatic target segmentation based on texture for microscopic images of natural medical herbal powders,2015,10.1007/s11265-013-0839-y
1834,synergies between texture features: an abstract feature based framework for meningioma subtypes classification,2017,10.1007/s10044-017-0599-6
1835,automated mineral identification algorithm using optical properties of crystals,2015,10.1016/j.cageo.2015.09.014
1836,development and experimental investigation of mathematical methods for automating the diagnostics and analysis of ophthalmological images,2018,10.1134/S1054661818040120
1837,"development, investigation, and software implementation of a new mathematical method for automating the analysis of corneal endothelium images",2017,10.1134/S1054661817030130
1838,multiscale permutation entropy for two-dimensional patterns,2021,10.1016/j.patrec.2021.06.028
1839,image analysis applied to quartz grain microtextural provenance studies,2019,10.1016/j.cageo.2019.01.007
1840,feature fusion and non-negative matrix factorization based active contours for texture segmentation,2019,10.1016/j.sigpro.2019.01.021
1841,forest species recognition based on dynamic classifier selection and dissimilarity feature vector representation,2015,10.1007/s00138-015-0659-0
1842,transition metal oxides on reduced graphene oxide nanocomposites: evaluation of physicochemical properties,2019,10.1155/2019/1703218
1843,detection of oxidation region of flexible integrated circuit substrate based on topology mapping,2019,10.1007/s11042-018-6466-7
1844,analysis of quantitative phase obtained by digital holography on h&amp;e-stained pathological samples,2019,10.1007/s10015-018-0468-4
1845,a virtual lateral standard for afm calibration,2016,10.1016/j.mee.2016.01.010
1846,automatic identification of scenedesmus polymorphic microalgae from microscopic images,2018,10.1007/s10044-017-0662-3
1847,ensembles of dense and dense sampling descriptors for the hep-2 cells classification problem,2016,10.1016/j.patrec.2016.01.026
1848,segmentation of hepatocellular carcinoma and dysplastic liver tumors in histopathology images using area based adaptive expectation maximization,2018,10.1007/s11042-016-4260-y
1849,computer aided tool for automatic detection and delineation of nucleus from oral histopathology images for oscc screening,2019,10.1016/j.asoc.2019.105642
1850,lbp operators on curvelet coefficients as an algorithm to describe texture in breast cancer tissues,2016,10.1016/j.eswa.2016.02.019
1851,sio2 caped fe3o4 nanostructures as an active heterogeneous catalyst for 4-nitrophenol reduction,2017,10.1007/s00542-017-3431-8
1852,classification of acute lymphoblastic leukaemia using hybrid hierarchical classifiers,2017,10.1007/s11042-017-4478-3
1853,passive auto focusing of pathological microscope with intelligent field image collection mechanism,2021,10.1007/s10916-020-01688-2
1854,identification of diffusion properties of polymer-matrix composite materials with complex texture,2020,10.1007/s10957-019-01602-y
1855,detection of lobular structures in normal breast tissue,2016,10.1016/j.compbiomed.2016.05.004
1856,an attention-based weakly supervised framework for spitzoid melanocytic lesion diagnosis in whole slide images,2021,10.1016/j.artmed.2021.102197
1857,microscopic printing analysis and application for classification of source printer,2021,10.1016/j.cose.2021.102320
1858,effect of low wall shear stress on the morphology of endothelial cells and its evaluation indicators,2021,10.1016/j.cmpb.2021.106082
1859,a novel transfer learning approach for the classification of histological images of colorectal cancer,2021,10.1007/s11227-020-03575-6
1860,pentacene organic thin-film transistor based on archimedean interdigitated spiral pattern,2021,10.1016/j.mee.2021.111590
1861,an efficient cad system for all cell identification from microscopic blood images,2021,10.1007/s11042-020-10066-6
1862,application of mesoscale simulation to explore the ph response of eudragit s100 used as the novel colon-targeted powder of pulsatilla saponin d,2021,10.1155/2021/9556911
1863,a new weighted two-dimensional vector quantisation encoding method in bag-of-features for histopathological image classification,2020,10.1504/ijiids.2020.109453
1864,optimal bag-of-features using random salp swarm algorithm for histopathological image analysis,2020,10.1504/ijiids.2020.109450
1865,sequential delivery of bmp2-derived peptide p24 by thiolated chitosan/calcium carbonate composite microspheres scaffolds for bone regeneration,2020,10.1155/2020/4929151
1866,optimization of milling procedures for synthesizing nano-caco3 from achatina fulica shell through mechanochemical techniques,2020,10.1155/2020/4370172
1867,automated segmentation of villi in histopathology images of placenta,2019,10.1016/j.compbiomed.2019.103420
1868,benchmarking hep-2 specimen cells classification using linear discriminant analysis on higher order spectra features of cell shape,2019,10.1016/j.patrec.2019.06.020
1869,process optimization of parameterized single shot method for a rapid production of photon sireve with direct write lithography,2019,10.1016/j.mee.2019.03.014
1870,combustion characteristics of horizontal diesel spray burner in low-pressure chamber based on multivariate correlation analysis,2019,10.1155/2019/9421986
1871,segmentation of shallow scratches image using an improved multi-scale line detection approach,2019,10.1007/s11042-018-6222-z
1872,lymphoma images analysis using morphological and non-morphological descriptors for classification,2018,10.1016/j.cmpb.2018.05.035
1873,feature-based analysis of cell nuclei structure for classification of histopathological images,2018,10.1016/j.dsp.2018.03.008
1874,correlation filters for detection of cellular nuclei in histopathology images,2018,10.1007/s10916-017-0863-8
1875,intelligent leukaemia diagnosis with bare-bones pso based feature optimization,2017,10.1016/j.asoc.2017.03.024
1876,automated mitosis detection in histopathology based on non-gaussian modeling of complex wavelet coefficients,2017,10.1016/j.neucom.2017.01.008
1877,segmentation of elastic fibres in images of vessel wall sections stained with weigert's resorcinfuchsin,2017,10.1016/j.cmpb.2017.02.018
1878,an ensemble rule learning approach for automated morphological classification of erythrocytes,2017,10.1007/s10916-017-0691-x
1879,morphological classification of odontogenic keratocysts using bouligand–minkowski fractal descriptors,2017,10.1016/j.compbiomed.2016.12.003
1880,erythrocyte segmentation for quantification in microscopic images of thin blood smears,2017,10.3233/JIFS-169227
1881,fabrication and characterization of hydrothermally grown mgzno nanorod films for schottky diode applications,2017,10.1007/s00542-015-2724-z
1882,a fully automatic nerve segmentation and morphometric parameter quantification system for early diagnosis of diabetic neuropathy in corneal images,2016,10.1016/j.cmpb.2016.07.032
1883,"hybrid-biomarker case-based reasoning system for water pollution assessment in abou hammad sharkia, egypt",2016,10.1016/j.asoc.2015.10.065
1884,characterization of inter- and intramolecular interactions of amyloid fibrils by afm-based single-molecule force spectroscopy,2016,10.1155/2016/5463201
1885,double-tip artifact removal from atomic force microscopy images,2016,10.1109/TIP.2016.2532239
1886,environmental microbiology aided by content-based image analysis,2016,10.1007/s10044-015-0498-7
1887,measurement of glomerulus diameter and bowman's space width of renal albino rats,2016,10.1016/j.cmpb.2015.10.023
1888,synthesis of zeolite nanomolecular sieves of different si/al ratios,2016,10.1155/2015/912575
1889,"silver-nanoparticle-based screen-printing and film characterization of a disposable, dual-band, bandstop filter on a flexible polyethylene terephthalate substrate",2016,10.1155/2015/810150
1890,automated measurement of sintering degree in optical microscopy through image analysis of particle joins,2015,10.1016/j.patcog.2015.05.012
1891,automated analysis and diagnosis of skin melanoma on whole slide histopathological images,2015,10.1016/j.patcog.2015.02.023
1892,automated high-content morphological analysis of muscle fiber histology,2015,10.1016/j.compbiomed.2015.04.020
1893,cancer multicellular spheroids,2015,10.1016/j.cmpb.2014.12.003
1894,growth plate stress distribution implications during bone development,2015,10.1016/j.cmpb.2014.10.007
1895,microscopic biopsy image segmentation using hybrid color k-means approach,2017,10.4018/IJCVIP.2017010105
1896,detection of brain cells in optical microscopy based on textural features with machine learning methods,2019,10.1134/S0361768819040054
1897,microstructure and mechanical properties of mg/2 wt.%sicp nanocomposite fabricated by arb process,2016,10.1155/2016/6034790
