title,abstract,keywords,type,year,journal,doi
Optical resonance of nanometer scale bow-tie antenna and bow-tie shaped aperture antenna,"In this paper, the nanometer scale bow-tie antenna and its geometrically complementary bow-tie shaped aperture antenna are proposed and discussed focusing on their optical resonance characteristics. To demonstrate such structures, the finite integration technique is developed in broad band calculations especially in the visible and infrared region. Characterized by surface plasmon resonance, localized strong field are found at the separation gap of the bow-tie antenna, thus providing satisfying near-field confinement and enhancement. In addition, the resonant properties depending on the effects of the geometrical parameters of length and gap distance are systematical studied. Furthermore, comparison of the performances between the two structures is presented for the first time. This investigation can be applied to near-field optical detection or imaging, scanning probe microscopy, lithography and optical manipulation, which has a promising prospect for nanoantennas.",Aperture antennas;Resonance;Optical sensors;Plasmons;Dipole antennas;Geometrical optics;Optical surface waves;Optical devices;Optical microscopy;Frequency;Optical resonance;antennas;aperture antennas,INPROCEEDINGS,2009,2009 Asia Pacific Microwave Conference,10.1109/APMC.2009.5384176
Segmentation of colorectal pathology images using level sets,"Colorectal cancer is the third most common cancer diagnosed in men and women. Generally surgery is by total excision of the mesorectum (TME), though it often has a poor outcome due to affected lymph nodes close to the resection boundary. Advancements in diagnosis and treatment of colorectal cancer require integration of information from different sources such as pathology macroscopic and microscopic images and magnetic resonance images. Evaluation of the mesorectal fascia and the rectal wall are important for both staging the cancer and predicting the outcome of the TME. An algorithm is developed for segmentation of the rectal wall on macroscopic pathology slice images. The information is vital for registration of the images for reconstruction of the resected volume but more importantly for fusion of images in order to evaluate different measures and establish correspondences across modalities. The resected specimen is segmented from the background using thresholding. Following, a number of features such as intensity different order statistics and phase information are evaluated for the region of interest. The features are incorporated in a level set framework for the segmentation of the rectal wall.",Image segmentation;Pathology;Level set;Cancer;Oncological surgery;Lymph nodes;Magnetic force microscopy;Magnetic resonance;Fascia;Image reconstruction;Colorectal cancer;pathology;segmentation;level sets,INPROCEEDINGS,2009,2009 9th International Conference on Information Technology and Applications in Biomedicine,10.1109/ITAB.2009.5394452
Liquid-solid nano-interactions of ceramic and metals,"Wetting behaviour of a low surface tension fluid as hydrophobic paraffin oil on metal and ceramic surfaces was studied at nano-scale by SPFM non contact probe analysis and at micro-scale by optical microscopy. Solid surfaces were obtained by sputtering molybdenum and aluminum over silicon wafer substrates. Bottom-up method based on vapor condensation technique was used to deposit the fluid upon the evaluated solid surfaces. Force-Distance curves showed that liquid initially disposed over all the substrates as an extremely thin, full coating, film with an apparent variable depth depending upon the evaluated solid substrates. This layer appeared to be extremely adherent and showed the features of a gel instead behaving as a proper liquid. By going on with the fluid condensation process and increasing the total amount of deposited fluid we observed the formation of nanodrops lying on and coexisting with the previously deposited film. Drop contact angles values were found characteristic of the specific solid substrate and appeared indeed to be inversely proportional to the first deposited film thickness. The fluid deposition processes were prolonged up to reach micrometric sized dimensions where the gel-like features disappeared and typical liquid features appeared. In order to reveal the status of the original nanometric liquid layer several micrometric sized drops were therefore partially or totally removed from the substrate with AFM tips. It was found that no apparent mixing occurred between these two different conditions of the same deposited fluid. To deeply explore the features of this ice-like early deposited film and to detect if the observed behavior should be more dependent upon the surface roughness or surface energetic the same samples underwent fluid vapor exposures after being treated with low surface energy silanes that created a monolayer coating. These surfaces showed a completely different behaviour. A huge formation of very similar nano-drops was immediately observed. The performed analysis shows that at the nano-scale the Young Equation does not apply satisfactorily, even in the case of extremely flat inert surfaces in contact with an inert and non polar liquid featured as a quite common basis for biological applications.",Ceramics;Substrates;Solids;Nanobioscience;Rough surfaces;Surface roughness;Surface treatment;Optical films;Optical microscopy;Coatings,INPROCEEDINGS,2009,2009 9th IEEE Conference on Nanotechnology (IEEE-NANO),
Low-temperature Si/Si wafer bonding using boride treated surface,"An approach for Si/Si wafer bonding based on boride-solution treatment was presented. The bonding energy is higher than the Si fracture energy by annealing at 180°C. The properties of the bonded structures were studied in terms of the interface shape, electrical and optical characteristic through scanning electron microscopy (SEM), interface I–V curve, and so on. In this method, the surfaces of two wafers are active by Boride solution, and then following a thermal annealing process. The bonding strength was found to be sufficiently high and could withstand the subsequent etching and polishing procedures of the bonded wafers. This low temperature wafer bonding technology can be used in Optic Electronics Integrated Circuit and this technology with potential to meet a broad range of future telecommunication and computing systems' needs.",Wafer bonding;Surface treatment;Surface cracks;Annealing;Optical microscopy;Scanning electron microscopy;Integrated circuit technology;Shape;Electron optics;Etching;low temperature bonding;Si/ Si;SEM;I–V curve,INPROCEEDINGS,2009,2009 Asia Communications and Photonics conference and Exhibition (ACP),
Studying liver cancer metastasis by in vivo imaging and flow cytometer,"Primary liver cancer (hepatocellular carcinoma, or HCC) is associated with liver cirrhosis 60–80% of the time. Liver cancer is one of the most common malignancies in the world, with approximately 1,000,000 cases reported every year. About 80% of people with primary liver cancer are male. Although two-thirds of people have advanced liver disease when they seek medical help, one third of the patients have cancer that has not progressed beyond the liver. HCC may metastasize to the lung, bones, kidney, and many other organs. Surgical resection, liver transplantation, chemotherapy and radiation therapy are the foundation of current HCC therapies. However the outcomes are poor:the survival rate is almost zero for metastatic HCC patients. Molecular mechanisms of HCC metastasis need to be understood better and new therapies must be developed to selectively target to unique characteristics of HCC cell growth and metastasis. We have developed the “in vivo microscopy” to study the mechanisms that govern liver tumor cell spread through the microenvironment in vivo with real-time confocal near-infrared fluorescence imaging. A recently developed “in vivo flow cytometer” and optical imaging are used to assess liver tumor cell spreading and the circulation kinetics of liver tumor cells. A real- time quantitative monitoring of circulating liver tumor cells by the in vivo flow cytometer will be useful to assess the effectiveness of the potential therapeutic interventions.",Cancer;Metastasis;In vivo;Tumors;Optical imaging;Medical treatment;Liver diseases;Biomedical imaging;Lungs;Bones;In vivo flow cytometry;in vivo fluorescence imaging;cancer metastasis;liver cancer;circulating cells;nearinfrared;confocal imaging,INPROCEEDINGS,2009,2009 Asia Communications and Photonics conference and Exhibition (ACP),
CdSe QDs-tagged-based encoded microparticle for miniaturized and multiplexed Immunoassay,"Micromachining techniques, which originated in the microelectronics industry, have been employed to manufacture microparticles bearing an engraved dot-type signature for biomolecular encoding. These metallic microstructures are photolithographically defined and manufactured in a highly reproducible manner. In addition, the code introduced on the particle face is a straightforward visible feature that is easily recognizable with the use of optical microscopy on the grounds of the CdSe Quantum dots (QDs) as fluorescent probes. The number of distinct codes theoretically could be many thousands, depending on the coding element numbers. Such microparticles are, thus, with appropriate surface organic functionalizations, ideal for encoding biomolecular libraries and serving as a platform for developing high-throughput multiplexed bioassay schemes based on suspension array technology.",Encoding;Optical microscopy;Immune system;Micromachining;Microelectronics;Manufacturing industries;Microstructure;Face recognition;Biomedical optical imaging;Quantum dots;micromachining;CdSe quantum dots (QDs);encoded microparticle;immunoassay,INPROCEEDINGS,2009,Proceedings of the 2009 12th International Symposium on Integrated Circuits,
Interaction of light with an array of subwavelength apertures in a metallic slab,"For many applications in nanophotonics, such as near field microscopy, spectroscopy, high density optical data storage, photolithography, etc, it would be very useful to find ways to have large enough optical transmission at visible wavelengths through normally-semi-opaque metallic thin films, with (and without) subwavelength apertures. Since light fields in metallic films and subwavelength cylindrical metallic apertures are mostly evanescent, optical transmission of such structures is weak. The transmission across these metallic films can be much enhanced if it is mediated by surface waves, such as surface plasmon polaritons (SPP) on the two sides of the metal film. The mechanisms of efficient light energy transfer through a two dimensional array of nano-apertures and the role of the SPPs have been under discussion for some time. At the same time, several applications of the enhanced transmission have been proposed and demonstrated. After an account of these developments, we describe results of our steady state and fsec time resolved measurements of optical properties of an array of subwavelength slits in metallic slabs, including fsec dynamics of SPPs, role of Wood anomalies in determining the transmission (T) and reflection (R) spectral features, possible use of the structure as a polarization selector and a wavelength filter in a range of visible wavelengths, reciprocity of T and R, and so on.",Optical arrays;Apertures;Slabs;Optical films;Optical surface waves;Optical filters;Optical microscopy;Surface waves;Nanophotonics;Spectroscopy,INPROCEEDINGS,2009,2009 4th International Conference on Computers and Devices for Communication (CODEC),
"HISOLD 4P Q&R, COST project for solder material innovations and solder joint properties assessment","The solder joints properties are in connection with their microstructure, which is the result of the soldering process temperature gradient action over the trinomial solder alloy/paste, electronic components terminals/pin and PCBs pads characteristics (4P soldering model). The temperature gradient was determinated by the specific thermal profile of the soldering process. As part of COST Action MP0602, Working Group 2 (The properties of solder joints), the HISOLD 4P-Q&R group project investigated, into integrated approach, the properties of solder joints realized by different paste-pad-pin-process reflow soldering formulas, with focus on innovative lead-free solder alloys, including composite type with nanoparticles content. The 4P soldering model concept and the project proposed investigations are based on numerous experiments and macro/microstructural analyzes including optical and X-ray inspections, surface acoustic microscopy (SAM), scanning electron microscopy (SEM), nanoindentation and electron backscattering diffraction (EBSD), before and after electrical, mechanical and climatic tests. Proposals for solder joints functionality standard test methods, test vehicles and data bases was elaborated as result of environmental stress studies, thermodynamical, rheological and macro/microstructural solder joints analyses, based on IPC references. A standard SAC solder alloy and the reflow soldering process was used as reference. As a consequence, the DFM concept can be improved with practical manufacturing requirements.",Costs;Joining materials;Technological innovation;Optical microscopy;Scanning electron microscopy;Acoustic testing;Temperature;Semiconductor device modeling;Reflow soldering;Microstructure,INPROCEEDINGS,2009,2009 15th International Symposium for Design and Technology of Electronics Packages (SIITME),10.1109/SIITME.2009.5407395
Using granulometry and watershed for breast tumor cells segmentation,"In this paper, we present an efficient method based on mathematical morphology for segmenting microscopic breast cells images. The proposed approach consists on estimating the size cells distribution using granulometry. Drawing the spectrum will give us important information about different size distribution corresponding to the different cells present in the image. This information will be used in order to eliminate non tumor cells distinguished by their small size and irregular shape compared to tumor cells. The markers are then extracted using the maximum on the distance function of the resulted image. Finally, we apply the watershed algorithm. The proposed method is simple and efficient.",Breast tumors;Morphology;Image segmentation;Microscopy;Image analysis;Malignant tumors;Circuits and systems;Image texture analysis;Cancer;Morphological operations;Cells segmentation;Granulometry;Marker extraction;Mathematical morphology;Medical image analysis;Watershed,INPROCEEDINGS,2009,"2009 3rd International Conference on Signals, Circuits and Systems (SCS)",10.1109/ICSCS.2009.5412539
Object segmentation by traversing a pose-shape manifold,"Recent investigations in estimating object shape in images and leveraging knowledge of expected shapes to perform object segmentation have necessitated the formalization of a rigorous mathematical theory of shape. Most of the existing theory in nonlinear shape manifolds lacks physically meaningful parameterization of the shape components, for e.g., pose. We build a novel pose-shape manifold in which manifold parameters signify physically meaningful pose/shape deformation modes. Geodesic distances on this manifold estimate dissimilarities in pose and shape. The segmentation method initializes a template point on the pose-shape manifold and navigates the manifold to converge on the correct pose and shape of the object to be segmented. We show that this method is superior to traditional active contour methods in robustness to edges from clutter. Application of this method to cell delineation of vascular myocytes from phase-contrast microscopy gives reliable segmentation (within ±5% RMS pixel error) of cell boundaries and reliable estimates of geodesic object deformation.",Object segmentation;Shape measurement;Biomedical measurements;Level measurement;Manifolds;Navigation;Microscopy;Image segmentation;Biomedical imaging;Principal component analysis;Pose;shape;manifold;biomedical image segmentation;microscopy,INPROCEEDINGS,2009,2009 16th IEEE International Conference on Image Processing (ICIP),10.1109/ICIP.2009.5413464
Automatic screening of bladder cells for cancer diagnosis,"This paper presents an automatic system for morphological screening of the bladder cells. This system is intended to increase efficiency of the subsequent fluorescence in situ hybridization examination by limiting the number of suspicious cells. The system works in two major phases. The first phase is slide scanning. The second stage includes cells detection and morphological analysis. Both stages refine their results using supervised classification algorithm. The developed method was tested on nine microscopical slides, containing more than 12000 manually labeled cells. The results provided by the system were compared to the ground truth labeled by a human expert.",Cancer;Bladder;Microscopy;Tiles;Fluorescence;DNA;Image analysis;Computer science;Classification algorithms;Testing;Microscopy;Biological cells,INPROCEEDINGS,2009,2009 16th IEEE International Conference on Image Processing (ICIP),10.1109/ICIP.2009.5414076
A fractal dimension based optimal wavelet packet analysis technique for classification of meningioma brain tumours,"With the heterogeneous nature of tissue texture, using a single resolution approach for optimum classification might not suffice. In contrast, a multiresolution wavelet packet analysis can decompose the input signal into a set of frequency subbands giving the opportunity to characterise the texture at the appropriate frequency channel. An adaptive best bases algorithm for optimal bases selection for meningioma histopathological images is proposed, via applying the fractal dimension (FD) as the bases selection criterion in a tree-structured manner. Thereby, the most significant subband that better identifies texture discontinuities will only be chosen for further decomposition, and its fractal signature would represent the extracted feature vector for classification. The best basis selection using the FD outperformed the energy based selection approaches, achieving an overall classification accuracy of 91.25% as compared to 83.44% and 73.75% for the co-occurrence matrix and energy texture signatures; respectively.",Fractals;Wavelet analysis;Wavelet packets;Tumors;Signal resolution;Frequency;Energy resolution;Image texture analysis;Signal analysis;Feature extraction;Texture analysis;multiresolution representation;wavelet packet;fractal dimension;Bayesian classification,INPROCEEDINGS,2009,2009 16th IEEE International Conference on Image Processing (ICIP),10.1109/ICIP.2009.5414534
Laser grooving characterization for dicing defects reduction and its challenges,"Blade sawing has been widely used in semiconductor industry and it is the most conventional process in semiconductor manufacturing to produce singulated ICs. This well established dicing technique poses challenges to process next generation of wafer when the wafer fabrication technology is fast scaling down in node size to 90-, 45-, 32-and 22-nm where low-k dielectric is used. ILD (Inter-Layer Dielectric) and metal layers peelings, cracks, chipping, and delamination are the most common dicing defects observed on low-k wafer processed by the traditional blade sawing techniques. This paper presents an experimental study to improve the dicing performance and quality on processing low-k wafer by using a combination of laser grooving process and traditional blade sawing technique. Some low-k wafers were used as test vehicles. The laser process outcomes and responses are governed by the changes of process input parameters such as laser power, repetition rate, grooving feed speed, defocus amount and street index. The effects of the process parameters on the laser kerf geometry, grooving edge quality and defects are evaluated by using optical microscopy and scanning electron microscopy (SEM). Experimental results have shown that the dicing quality produced by using a combination of laser grooving and blade sawing technique can significantly minimize the dicing defects. It is one of the potential solutions to address the quality and yield issues in low-k wafer dicing. The key challenges of laser grooving and recommended future development works are discussed.",Blades;Sawing;Optical microscopy;Scanning electron microscopy;Dielectrics;Laser transitions;Power lasers;Semiconductor lasers;Electronics industry;Manufacturing processes,INPROCEEDINGS,2009,2009 11th Electronics Packaging Technology Conference,10.1109/EPTC.2009.5416427
SEM Microscopic Image Segmentation Based on Markov Field Models,"The Scanning Electronic Microscopy (SEM) images are usually used to analyze a certain kind of material properties. To get automatic and accurate quantitative research, image processing methods are utilized to analyze surface morphology from the images obtained from SEM. In this paper, we focus on the Activated Carbon Fiber (ACF) SEM material images. K-nearest neighbor smoothing and Lapalacian sharpenning methods are performed for preprocessing. This paper presents a segmentation method based on Markov Field Models algorithm to separate the pores and background for the material image. Iterated Conditional Mode (ICM) priority iteration algorithm is applied to find exact optimal estimators for labeled field and the model parameters. The experimental results show that the segmentation algorithm based on Markov Field Models is appropriate for microscope images.",Scanning electron microscopy;Image segmentation;Transmission electron microscopy;Materials science and technology;Image analysis;Information science;Surface morphology;Laplace equations;Image processing;Organic materials,INPROCEEDINGS,2009,2009 Fifth International Conference on Image and Graphics,10.1109/ICIG.2009.11
Contact Guidance Based on the Nanostructures Fabricated by Nanoimprint Lithography,"Contact Guidance is an important phenomenon in the bio field. However it is complex and time-consuming to fabricate the micro/nano morphology used to guide cell growth behavior. Novel method of employing nanoimprint lithography to mass-produce nanostructures was investigated. The nanoimprint stamp consisting of uniform nanogrooves was fabricated by holographic lithography and inductively coupled plasma etching. The stamp was used to nanoimprint many polyethylene terephthalate glycol substrates. The substrates were taken to cultivate vascular smooth muscle cells. The atomic force microscopy measurement shows the width of replicated grooves is 550 nm and the nanoimprint process is successful. The optical microscope characterization demonstrate that the patterned nanogrooves manufactured by nanoimprint have an obvious contact guidance for cell growth. These results have vital implications for bioinformatics, cell biology and biosensor research.",Nanostructures;Nanolithography;Nanobioscience;Holography;Plasma measurements;Atomic measurements;Atomic force microscopy;Force measurement;Optical microscopy;Morphology,INPROCEEDINGS,2009,2009 First International Conference on Information Science and Engineering,10.1109/ICISE.2009.425
Automatic segmentation of Drosophila neurons for content based retrieval using a minimum spanning tree approach,"A critical part in our knowledge of the brain is the understanding of the structure and morphology of neurons. In recent years, we have witnessed a tremendous effort in developing libraries of neuronal structures that can be used for multiple purposes. These critical studies include modeling the brain connectivity and understanding how cellular structure regulates brain function. Presently, methods for tracing neuronal structures from microscopy images of neurons are not only tedious, but prone to user bias; hence they are not suitable for practical purposes. State of the art automatic neuron tracing algorithms fail to give satisfactory results for neuron images with low contrast, discontinuous filaments, and complex branching. In this paper, we develop Tree2Tree, an automatic neuron segmentation and morphology generation algorithm. Our algorithm uses a global tree linking strategy to connect smaller medial trees of visible components of the neuron in order to give an optimal explanation of the brightness patterns of the neuron branches. We intend to utilize these graph-based segmentation results in the retrieval of similar neurons from an extensive database of segmented neurons. We have tested our algorithm on confocal microscopy images of Drosophila neurons and our segmentation results are congruent with (within ±5.3 pixel RMSE) the manually obtained ground truth.",Neurons;Content based retrieval;Image segmentation;Tree graphs;Morphology;Microscopy;Libraries;Brain modeling;Joining processes;Brightness;Segmentation;neuron tracing;morphology;filament tracking,INPROCEEDINGS,2009,"2009 Conference Record of the Forty-Third Asilomar Conference on Signals, Systems and Computers",10.1109/ACSSC.2009.5470190
Challenges in Computational Histopathology: The Feasibility of FTIR Spectroscopy in Clustering,"The aim of this project is to find suitable, reliable and fast methods for computational cancer histopathology. Clustering of FTIR spectra has been done before, but this paper uses features instead of whole spectra or its second derivative. The resolution of FTIR spectroscopic image is not good enough, because pathologists need better resolution and different magnifications for current histopathologic recognition. When there is no way to compare the result of FTIR and light microscopic image at high resolution, it is also impossible to compare the results of clustering using FTIR spectroscopy. A computational histopathological method using both FTIR spectroscopy and light microscopic images is proposed in this study. Only important parts of tissue samples are measured using FTIR spectroscopy, which conserves time. Then the measured spectra is compared to preconceived spectral database. Spectral database is formed by measuring perfectly cultivated samples of tissue types using FTIR spectroscopy.",Spectroscopy;Cancer;Microscopy;Clustering algorithms;Image resolution;Databases;Euclidean distance;Computational histopathology;FTIR spectroscopy;clustering;tissue sample,INPROCEEDINGS,2009,2009 Fifth International Conference on Signal Image Technology and Internet Based Systems,10.1109/SITIS.2009.20
Microscopic texture components classification for image segmentation,"The paper presents the possibility of using a sliding window for image feature extraction in order to identify image regions of interest. The study includes the comparison of feature extraction methods both in the space and frequency domains using the discrete Fourier transform and the discrete wavelet transform to achieve reliable classification results for a given application. The compactness of feature clusters is evaluated exploiting a proposed numerical criterion. In case of real image data, the clusters compactness can often be improved by employing a chosen smoothing method on the raw data. In this paper, the procedure of smoothing, feature extraction and classification is applied to microscopic images of aluminum alloys in order to isolate regions of similar properties and to study their relationship. To achieve this goal the sliding window classification results are combined and isolated misclassified subregions repaired. The proportion of misclassified regions is then used for the evaluation of the efficiency of the proposed method along with the proposed measure of cluster compactness.",Microscopy;Image segmentation;Abstracts;Weaving;Vectors;Legged locomotion;Chemicals,INPROCEEDINGS,2009,2009 17th European Signal Processing Conference,
Automatic Detection of Large Dense-Core Vesicles in Secretory Cells and Statistical Analysis of Their Intracellular Distribution,"Analyzing the morphological appearance and the spatial distribution of large dense-core vesicles (granules) in the cell cytoplasm is central to the understanding of regulated exocytosis. This paper is concerned with the automatic detection of granules and the statistical analysis of their spatial locations in different cell groups. We model the locations of granules of a given cell as a realization of a finite spatial point process and the point patterns associated with the cell groups as replicated point patterns of different spatial point processes. First, an algorithm to segment the granules using electron microscopy images is proposed. Second, the relative locations of the granules with respect to the plasma membrane are characterized by two functional descriptors: the empirical cumulative distribution function of the distances from the granules to the plasma membrane and the density of granules within a given distance to the plasma membrane. The descriptors of the different cells for each group are compared using bootstrap procedures. Our results show that these descriptors and the testing procedure allow discriminating between control and treated cells. The application of these novel tools to studies of secretion should help in the analysis of diseases associated with dysfunctional secretion, such as diabetes.",Statistical analysis;Plasma density;Biomembranes;Plasma applications;Fluids and secretions;Image segmentation;Electron microscopy;Distribution functions;Testing;Diseases;Replicated spatial point patterns;image segmentation;exocytosis;bootstrap methods;electron microscopy;large dense-core vesicles.;Pattern analysis;Clustering;Computer vision;Biology and genetics;Stochastic processes;Correlation and regression analysis,ARTICLE,2010,IEEE/ACM Transactions on Computational Biology and Bioinformatics,10.1109/TCBB.2008.30
Quantitative Comparison of Spot Detection Methods in Fluorescence Microscopy,"Quantitative analysis of biological image data generally involves the detection of many subresolution spots. Especially in live cell imaging, for which fluorescence microscopy is often used, the signal-to-noise ratio (SNR) can be extremely low, making automated spot detection a very challenging task. In the past, many methods have been proposed to perform this task, but a thorough quantitative evaluation and comparison of these methods is lacking in the literature. In this paper, we evaluate the performance of the most frequently used detection methods for this purpose. These include seven unsupervised and two supervised methods. We perform experiments on synthetic images of three different types, for which the ground truth was available, as well as on real image data sets acquired for two different biological studies, for which we obtained expert manual annotations to compare with. The results from both types of experiments suggest that for very low SNRs ( ¿ 2), the supervised (machine learning) methods perform best overall. Of the unsupervised methods, the detectors based on the so-called h -dome transform from mathematical morphology or the multiscale variance-stabilizing transform perform comparably, and have the advantage that they do not require a cumbersome learning stage. At high SNRs ( > 5), the difference in performance of all considered detectors becomes negligible.",Fluorescence;Image analysis;Object detection;Optical microscopy;Biomedical imaging;Optical imaging;Signal to noise ratio;Machine learning;Detectors;Proteins;Fluorescence microscopy;image filtering;machine learning;noise reduction;object detection,ARTICLE,2010,IEEE Transactions on Medical Imaging,10.1109/TMI.2009.2025127
Multiple Nuclei Tracking Using Integer Programming for Quantitative Cancer Cell Cycle Analysis,"Automated cell segmentation and tracking are critical for quantitative analysis of cell cycle behavior using time-lapse fluorescence microscopy. However, the complex, dynamic cell cycle behavior poses new challenges to the existing image segmentation and tracking methods. This paper presents a fully automated tracking method for quantitative cell cycle analysis. In the proposed tracking method, we introduce a neighboring graph to characterize the spatial distribution of neighboring nuclei, and a novel dissimilarity measure is designed based on the spatial distribution, nuclei morphological appearance, migration, and intensity information. Then, we employ the integer programming and division matching strategy, together with the novel dissimilarity measure, to track cell nuclei. We applied this new tracking method for the tracking of HeLa cancer cells over several cell cycles, and the validation results showed that the high accuracy for segmentation and tracking at 99.5% and 90.0%, respectively. The tracking method has been implemented in the cell-cycle analysis software package, DCELLIQ, which is freely available.",Linear programming;Cancer;Drugs;Image segmentation;Bioinformatics;Fluorescence;Microscopy;Biomedical engineering;Radiology;Hospitals;Anti-cancer drug screening;cell cycle analysis;segmentation and tracking;time-lapse fluorescence microscopy,ARTICLE,2010,IEEE Transactions on Medical Imaging,10.1109/TMI.2009.2027813
Computerized Image-Based Detection and Grading of Lymphocytic Infiltration in HER2+ Breast Cancer Histopathology,"The identification of phenotypic changes in breast cancer (BC) histopathology on account of corresponding molecular changes is of significant clinical importance in predicting disease outcome. One such example is the presence of lymphocytic infiltration (LI) in histopathology, which has been correlated with nodal metastasis and distant recurrence in HER2+ BC patients. In this paper, we present a computer-aided diagnosis (CADx) scheme to automatically detect and grade the extent of LI in digitized HER2+ BC histopathology. Lymphocytes are first automatically detected by a combination of region growing and Markov random field algorithms. Using the centers of individual detected lymphocytes as vertices, three graphs (Voronoi diagram, Delaunay triangulation, and minimum spanning tree) are constructed and a total of 50 image-derived features describing the arrangement of the lymphocytes are extracted from each sample. A nonlinear dimensionality reduction scheme, graph embedding (GE), is then used to project the high-dimensional feature vector into a reduced 3-D embedding space. A support vector machine classifier is used to discriminate samples with high and low LI in the reduced dimensional embedding space. A total of 41 HER2+ hematoxylin-and-eosin-stained images obtained from 12 patients were considered in this study. For more than 100 three-fold cross-validation trials, the architectural feature set successfully distinguished samples of high and low LI levels with a classification accuracy greater than 90%. The popular unsupervised Varma-Zisserman texton-based classification scheme was used for comparison and yielded a classification accuracy of only 60%. Additionally, the projection of the 50 image-derived features for all 41 tissue samples into a reduced dimensional space via GE allowed for the visualization of a smooth manifold that revealed a continuum between low, intermediate, and high levels of LI. Since it is known that extent of LI in BC biopsy specimens is a prognostic indicator, our CADx scheme will potentially help clinicians determine disease outcome and allow them to make better therapy recommendations for patients with HER2+ BC.",Cancer detection;Breast cancer;Diseases;Metastasis;Computer aided diagnosis;Markov random fields;Tree graphs;Support vector machines;Support vector machine classification;Visualization;Breast cancer (BC);classification;digital pathology;feature extraction;image analysis;lymphocytic infiltration (LI);nonlinear dimensionality reduction;prognosis;segmentation;texture,ARTICLE,2010,IEEE Transactions on Biomedical Engineering,10.1109/TBME.2009.2035305
Improved Automatic Detection and Segmentation of Cell Nuclei in Histopathology Images,"Automatic segmentation of cell nuclei is an essential step in image cytometry and histometry. Despite substantial progress, there is a need to improve accuracy, speed, level of automation, and adaptability to new applications. This paper presents a robust and accurate novel method for segmenting cell nuclei using a combination of ideas. The image foreground is extracted automatically using a graph-cuts-based binarization. Next, nuclear seed points are detected by a novel method combining multiscale Laplacian-of-Gaussian filtering constrained by distance-map-based adaptive scale selection. These points are used to perform an initial segmentation that is refined using a second graph-cuts-based algorithm incorporating the method of alpha expansions and graph coloring to reduce computational complexity. Nuclear segmentation results were manually validated over 25 representative images (15 in vitro images and 10 in vivo images, containing more than 7400 nuclei) drawn from diverse cancer histopathology studies, and four types of segmentation errors were investigated. The overall accuracy of the proposed segmentation algorithm exceeded 86%. The accuracy was found to exceed 94% when only over- and undersegmentation errors were considered. The confounding image characteristics that led to most detection/segmentation errors were high cell density, high degree of clustering, poor image contrast and noisy background, damaged/irregular nuclei, and poor edge information. We present an efficient semiautomated approach to editing automated segmentation results that requires two mouse clicks per operation.",Image segmentation;Image edge detection;Automation;Robustness;Diversity reception;Adaptive filters;Filtering;Computational complexity;In vitro;In vivo;Image cytometry;cell nuclei;histopathology;segmentation,ARTICLE,2010,IEEE Transactions on Biomedical Engineering,10.1109/TBME.2009.2035102
High-Speed Nonlinear Interferometric Vibrational Imaging of Biological Tissue With Comparison to Raman Microscopy,"Vibrational contrast imaging of the distribution of complex biological molecules requires the use of techniques that provide broadband spectra with sufficient resolution. Coherent anti-Stokes Raman scattering (CARS) microscopy is currently limited in meeting these requirements due to the presence of a nonresonant background and its inability to target multiple resonances simultaneously. We present nonlinear interferometric vibrational imaging (NIVI), a technique based on CARS that uses femtosecond pump and Stokes pulses to retrieve broadband vibrational spectra over 200 cm-1 (full-width at half maximum). By chirping the pump and performing spectral interferometric detection, the anti-Stokes pulses are resolved in time. This phase-sensitive detection allows suppression of not only the nonresonant background, but also of the real part of the nonlinear susceptibility χ(3), improving the spectral resolution and features to make them comparable to those acquired with spontaneous Raman microscopy, as shown for a material sample and mammary tissue.",Biological tissues;Microscopy;High-resolution imaging;Image resolution;Raman scattering;Resonance;Image retrieval;Chirp;Phase detection;Biological materials;Biological tissue;coherent anti-Stokes Raman scattering (CARS);interferometry;nonlinear interferometric vibrational imaging (NIVI);optical imaging;spectroscopy,ARTICLE,2010,IEEE Journal of Selected Topics in Quantum Electronics,10.1109/JSTQE.2009.2035537
Laser-Induced High-Strain-Rate Superplastic 3-D Microforming of Metallic Thin Films,"Microforming of metals has always been a challenge because of the limited formability of metals at the microscale. This paper investigates an innovative microforming technique: microscale laser dynamic forming (¿LDF), which induces 3-D superplastic forming in metallic thin films. This forming process proceeds in a sequence of laser irradiation and ionization of ablative coating, shockwave generation and propagation in metallic thin films, and conformation of metallic thin films to the shape of microscale molds. Because the deformation proceeds at ultrahigh strain rates, it is found that materials experience superplastic deformation at the microscale. In this paper, experiments are systematically carried out to understand the deformation characteristics of ¿LDF. The topologies and dimensions of the deformed samples are characterized by scanning electron microscopy and optical profilometry. The thickness variations are characterized by slicing the cross section of the deformed material using the focused ion beam. The magnitude of deformation depth in ¿LDF is determined primarily by three critical factors: film thickness, mold geometry, and laser intensity. The relationships between these factors are explored in process maps to find suitable processing conditions for ¿LDF. Nanoindentation tests are conducted to show that the strength of the thin films is increased significantly after ¿LDF.",Transistors;Optical materials;Optical microscopy;Optical films;Ionization;Coatings;Optical propagation;Shape;Capacitive sensors;Topology;Laser processing;microforming;nanoindentation;shock pressure;superplastic;ultrahigh strain rate forming,ARTICLE,2010,Journal of Microelectromechanical Systems,10.1109/JMEMS.2010.2040947
